bundle_type,tag,req_id,title
role,identity,1.1.2,"Roles and responsibilities for performing activities in Requirement 1 are documented, assigned, and understood."
role,identity,1.2.8,Configuration files for NSCs are: • Secured from unauthorized access. • Kept consistent with active network configurations.
role,identity,1.4.2,"Inbound traffic from untrusted networks to trusted networks is restricted to: • Communications with system components that are authorized to provide publicly accessible services, protocols, and ports. • Stateful responses to communications initiated by system components in a trusted network. • All other traffic is denied."
role,identity,1.4.4,System components that store cardholder data are not directly accessible from untrusted networks.
role,identity,2.1.2,"Roles and responsibilities for performing activities in Requirement 2 are documented, assigned, and understood."
role,identity,2.2.7,All non-console administrative access is encrypted using strong cryptography.
role,identity,2.3.1,"For wireless environments connected to the CDE or transmitting account data, all wireless vendor defaults are changed at installation or are confirmed to be secure, including but not limited to: • Default wireless encryption keys. • Passwords on wireless access points. • SNMP defaults. • Any other security-related wireless vendor defaults."
role,identity,2.3.2,"For wireless environments connected to the CDE or transmitting account data, wireless encryption keys are changed as follows: • Whenever personnel with knowledge of the key leave the company or the role for which the knowledge was necessary. • Whenever a key is suspected of or known to be compromised."
role,identity,3.1.2,"Roles and responsibilities for performing activities in Requirement 3 are documented, assigned, and understood."
role,identity,3.4.2,"When using remote-access technologies, technical controls prevent copy and/or relocation of PAN for all personnel, except for those with documented, explicit authorization and a legitimate, defined business need. Note: This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
role,identity,3.5.1.3,"If disk-level or partition-level encryption is used (rather than file-, column-, or field--level database encryption) to render PAN unreadable, it is managed as follows: • Logical access is managed separately and independently of native operating system authentication and access control mechanisms. • Decryption keys are not associated with user accounts. • Authentication factors (passwords, passphrases, or cryptographic keys) that allow access to unencrypted data are stored securely."
role,identity,3.6.1,Procedures are defined and implemented to protect cryptographic keys used to protect stored account data against disclosure and misuse that include: • Access to keys is restricted to the fewest number of custodians necessary. • Key-encrypting keys are at least as strong as the data-encrypting keys they protect. • Key-encrypting keys are stored separately from data-encrypting keys. • Keys are stored securely in the fewest possible locations and forms.
role,identity,3.6.1.3,Access to cleartext cryptographic key components is restricted to the fewest number of custodians necessary.
role,identity,3.7.5,"Key management policies procedures are implemented to include the retirement, replacement, or destruction of keys used to protect stored account data, as deemed necessary when: • The key has reached the end of its defined cryptoperiod. • The integrity of the key has been weakened, including when personnel with knowledge of a cleartext key component leaves the company, or the role for which the key component was known. • The key is suspected of or known to be compromised. • Retired or replaced keys are not used for encryption operations."
role,identity,4.1.2,"Roles and responsibilities for performing activities in Requirement 4 are documented, assigned, and understood."
role,identity,5.1.2,"Roles and responsibilities for performing activities in Requirement 5 are documented, assigned, and understood."
role,identity,6.1.2,"Roles and responsibilities for performing activities in Requirement 6 are documented, assigned, and understood."
role,identity,6.2.4,"Software engineering techniques or other methods are defined and in use by software development personnel to prevent or mitigate common software attacks and related vulnerabilities in bespoke and custom software, including but not limited to the following: • Injection attacks, including SQL, LDAP, XPath, or other command, parameter, object, fault, or injection-type flaws. • Attacks on data and data structures, including attempts to manipulate buffers, pointers, input data, or shared data. • Attacks on cryptography usage, including attempts to exploit weak, insecure, or inappropriate cryptographic implementations, algorithms, cipher suites, or modes of operation. • Attacks on business logic, including attempts to abuse or bypass application features and functionalities through the manipulation of APIs, communication protocols and channels, client-side functionality, or other system/application functions and resources. This includes cross-site scripting (XSS) and cross-site request forgery (CSRF). • Attacks on access control mechanisms, including attempts to bypass or abuse identification, authentication, or authorization mechanisms, or attempts to exploit weaknesses in the implementation of such mechanisms. • Attacks via any ""high-risk"" vulnerabilities identified in the vulnerability identification process, as defined in Requirement 6.3.1."
role,identity,6.5.3,Pre-production environments are separated from production environments and the separation is enforced with access controls.
role,identity,6.5.4,Roles and functions are separated between production and pre-production environments to provide accountability such that only reviewed and approved changes are deployed.
role,identity,1.3,Prohibit direct public access between the Internet and system components in the CDE
role,identity,2.3,Encrypt all non-console administrative access
role,identity,7.1.2,"Roles and responsibilities for performing activities in Requirement 7 are documented, assigned, and understood."
role,identity,7.2.1,"An access control model is defined and includes granting access as follows: • Appropriate access depending on the entity's business and access needs. • Access to system components and data resources that is based on users' job classification and functions. • The least privileges required (for example, user, administrator) to perform a job function."
role,identity,7.2.2,"Access is assigned to users, including privileged users, based on: • Job classification and function. • Least privileges necessary to perform job responsibilities."
role,identity,7.2.4,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows: • At least once every six months. • To ensure user accounts and access remain appropriate based on job function. • Any inappropriate access is addressed. • Management acknowledges that access remains appropriate. Note: This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
role,identity,7.2.5,"All application and system accounts and related access privileges are assigned and managed as follows: • Based on the least privileges necessary for the operability of the system or application. • Access is limited to the systems, applications, or processes that specifically require their use. Note: This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
role,identity,7.2.5.1,"All access by application and system accounts and related access privileges are reviewed as follows: • Periodically (at the frequency defined in the entity's targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1). • The application/system access remains appropriate for the function being performed. • Any inappropriate access is addressed. • Management acknowledges that access remains appropriate. Note: This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
role,identity,7.2.6,"All user access to query repositories of stored cardholder data is restricted as follows: • Via applications or other programmatic methods, with access and allowed actions based on user roles and least privileges. • Only the responsible administrator(s) can directly access or query repositories of stored CHD."
role,identity,7.3.1,An access control system(s) is in place that restricts access based on a user’s need to know and covers all system components.
role,identity,7.3.2,"The access control system(s) is configured to enforce permissions assigned to individuals, applications, and systems based on job classification and function."
role,identity,7.3.3,The access control system(s) is set to “deny all” by default.
role,identity,8.1.2,"Roles and responsibilities for performing activities in Requirement 8 are documented, assigned, and understood."
role,identity,8.2.1,All users are assigned a unique ID before access to system components or cardholder data is allowed.
role,identity,8.2.2,"Group, shared, or generic IDs, or other shared authentication credentials are only used when necessary on an exception basis, and are managed as follows: • ID use is prevented unless needed for an exceptional circumstance. • Use is limited to the time needed for the exceptional circumstance. • Business justification for use is documented. • Use is explicitly approved by management. • Individual user identity is confirmed before access to an account is granted. • Every action taken is attributable to an individual user."
role,identity,8.2.3,Additional requirement for service providers only: Service providers with remote access to customer premises use unique authentication factors for each customer premises.
role,identity,8.2.5,Access for terminated users is immediately revoked.
role,identity,8.2.7,"Accounts used by third parties to access, support, or maintain system components via remote access are managed as follows: • Enabled only during the time period needed and disabled when not in use. • Use is monitored for unexpected activity."
role,identity,8.3.1,"All user access to system components for users and administrators is authenticated via at least one of the following authentication factors: • Something you know, such as a password or passphrase. • Something you have, such as a token device or smart card. • Something you are, such as a biometric element."
role,identity,8.3.9,"If passwords/passphrases are used as the only authentication factor for user access (i.e., in any single-factor authentication implementation) then either: • Passwords/passphrases are changed at least once every 90 days, OR • The security posture of accounts is dynamically analyzed, and real-time access to resources is automatically determined accordingly."
role,identity,8.3.10,"Additional requirement for service providers only: If passwords/passphrases are used as the only authentication factor for customer user access to cardholder data (i.e., in any single-factor authentication implementation), then guidance is provided to customer users including: • Guidance for customers to change their user passwords/passphrases periodically. • Guidance as to when, and under what circumstances, passwords/passphrases are to be changed. Note: This requirement for service providers will be superseded by Requirement 8.3.10.1 as of 31 March 2025."
